"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0219006246202408,0.000301435797850012,0.135963124257766,0.280859595577021,1.32153807785633,-7196.45768442725
"Std.",0.000577508511709199,0.000270695538345054,0.00829792945188973,0.0128542350694799,0.0389621378981312,1.66756953366878
"Acceptance ratio",0.25816,0.22266,0.17846,0.2766,0.1681,0.71376
"0%",0.0198380040231543,1.42454373036551e-07,0.105715258920058,0.232092428890298,1.17262762596825,-7208.4028232571
"2.5%",0.0207999681487075,7.97617899961323e-06,0.120449580917865,0.256632399980433,1.24420886613335,-7200.50857340635
"5%",0.0209619377524795,1.74239994285326e-05,0.122882687590637,0.260147525269519,1.25735756692252,-7199.60533224006
"7.5%",0.0210768439624952,2.61663696933128e-05,0.124427849522337,0.262712496349474,1.26502812916114,-7199.0652803913
"10%",0.0211556057510592,3.57668773304168e-05,0.125589378472983,0.264500880486889,1.27152708890266,-7198.6763488737
"12.5%",0.0212380274553014,4.59863246483008e-05,0.126529306233487,0.266061010134952,1.27622428737988,-7198.37371146721
"15%",0.0212965318751965,5.64469521232714e-05,0.127295326369494,0.26731377361585,1.2810373257763,-7198.11299209031
"17.5%",0.0213545286888209,6.57435369120891e-05,0.128151990268606,0.268701268083403,1.28488666102036,-7197.89223809179
"20%",0.021404150839001,7.75433239188574e-05,0.1288756895558,0.269832175100336,1.28850743989622,-7197.69015234756
"22.5%",0.021454811520864,8.7688082633059e-05,0.129605162821424,0.271016837284611,1.29150781292373,-7197.50270308477
"25%",0.0215012669435862,9.87486618499508e-05,0.130291329058379,0.272036623908784,1.29444215043912,-7197.33978483946
"27.5%",0.021551642968403,0.000109707589569778,0.130876807678426,0.273029553027177,1.297516623753,-7197.18979769401
"30%",0.0215919136813323,0.000121942718117046,0.131393032699831,0.27392399944051,1.30084460503644,-7197.0610631835
"32.5%",0.021633629016959,0.000133990310444212,0.131889832175742,0.274712382003804,1.30379545341862,-7196.92400625381
"35%",0.0216711796506022,0.000145442321288712,0.132390746261601,0.275576760294265,1.30648098034317,-7196.80253412275
"37.5%",0.021712568700984,0.000157325009001209,0.13298177418537,0.276437823366443,1.30934737833592,-7196.67780995717
"40%",0.021746513874276,0.000168861496333151,0.133508314788367,0.277268275266228,1.31190356996841,-7196.56162350965
"42.5%",0.0217861693567535,0.000182576295032637,0.134105849442706,0.278025103283447,1.31416691172066,-7196.45612109293
"45%",0.0218166574413764,0.000194572935578752,0.134593600493832,0.278844728993976,1.31661711167875,-7196.35413772633
"47.5%",0.0218572797750236,0.000206861382243106,0.135132123647678,0.279737662784732,1.31869776280782,-7196.25528104668
"50%",0.0218904913040355,0.000221480205429371,0.135717266463774,0.280507741728843,1.32100544098881,-7196.15719631076
"52.5%",0.021925443392891,0.00023907447045693,0.136209481021594,0.281363339749952,1.32334079471677,-7196.05506692594
"55%",0.021960565550387,0.000258028822695882,0.136735335440015,0.282249268172593,1.32550948326703,-7195.95989943836
"57.5%",0.0219970696408049,0.000276920360160845,0.137291096961473,0.283063424117479,1.32835682214939,-7195.87186830903
"60%",0.0220354732641326,0.000292750441321672,0.137845013138172,0.283954502438702,1.33095800276877,-7195.78497636926
"62.5%",0.0220727378763268,0.000313295472211612,0.138438237987297,0.284735809685111,1.33356243285064,-7195.68839130381
"65%",0.0221120896707441,0.000333892523868731,0.13893683157507,0.2857206049311,1.33651657970179,-7195.59886638452
"67.5%",0.0221533609927046,0.000354724264727856,0.13958492124218,0.286563387675962,1.33945200268971,-7195.51015935451
"70%",0.0221907405503245,0.000379243299691518,0.140159157542582,0.287544079565563,1.34206553010055,-7195.41684889046
"72.5%",0.0222326438570029,0.000402726859897231,0.140767695603421,0.288425556734909,1.34544693218872,-7195.32740676445
"75%",0.0222814811611222,0.00042929327239936,0.141376978959461,0.28949410400511,1.34843417123769,-7195.23770753798
"77.5%",0.0223258474773438,0.000458977934803026,0.142103251040501,0.290575715579286,1.35205750045743,-7195.13942547137
"80%",0.0223814742343838,0.000487492034385724,0.142880131360132,0.291696925738954,1.35544805263817,-7195.05133145234
"82.5%",0.0224457662565876,0.000524026816142365,0.143801760912239,0.292937831664337,1.35851945663808,-7194.9539139229
"85%",0.0225208660177311,0.000564920838548091,0.144663489314176,0.294401695543006,1.36212981905504,-7194.8546677846
"87.5%",0.0225826130746442,0.000613802109865189,0.145554938972738,0.296053961989943,1.3665808949157,-7194.74317241523
"90%",0.0226584729019201,0.00067572313878485,0.146674748706783,0.297904412966022,1.37157885733898,-7194.62736249628
"92.5%",0.0227542089826694,0.00074412941900157,0.148210046903166,0.2995952777018,1.3775990004394,-7194.49562604906
"95%",0.0228784645286842,0.000838798495692459,0.150122129887906,0.302372251599279,1.38669876571134,-7194.34259604818
"97.5%",0.0230635522407027,0.000999811954683026,0.152706643347987,0.306678831263994,1.39831160066654,-7194.13064297287
"100%",0.0243966160330714,0.00226910407169435,0.169124915594876,0.328329723241691,1.46031974279686,-7193.5528556739
